image_urls,name,price,shop
https://s.ek.ua/jpg/1792397.jpg,Pantum P2500NW,5244,Moyo.ua
https://s.ek.ua/jpg/1792397.jpg,Pantum P2500NW,5244,Kvshop.com.ua
https://s.ek.ua/jpg/1792397.jpg,Pantum P2500NW,5244,FOXTROT.UA
https://s.ek.ua/jpg/397266.jpg,Epson L1300,26365,Kvshop.com.ua
https://s.ek.ua/jpg/397266.jpg,Epson L1300,25369,A-techno.com.ua
https://s.ek.ua/jpg/1536516.jpg,Canon PIXMA TS704,4490,Цифра
https://s.ek.ua/jpg/1792397.jpg,Pantum P2500NW,4255,Stylus.ua
https://s.ek.ua/jpg/1792397.jpg,Pantum P2500NW,4255,Цифра
https://s.ek.ua/jpg/1792397.jpg,Pantum P2500NW,5244,Repka.ua
https://s.ek.ua/jpg/397266.jpg,Epson L1300,26592,Stylus.ua
https://s.ek.ua/jpg/397266.jpg,Epson L1300,26339,Цифра
https://s.ek.ua/jpg/1536516.jpg,Canon PIXMA TS704,4395,Tviy-Dim.com
https://s.ek.ua/jpg/1536516.jpg,Canon PIXMA TS704,4319,Aligator.com.ua
https://s.ek.ua/jpg/1536516.jpg,Canon PIXMA TS704,4487,Enko.com.ua
https://s.ek.ua/jpg/1792397.jpg,Pantum P2500NW,5244,Ktc.ua
https://s.ek.ua/jpg/2200668.jpg,Canon MAXIFY GX5040,20499,Kvshop.com.ua
https://s.ek.ua/jpg/2200668.jpg,Canon MAXIFY GX5040,20499,FOXTROT.UA
https://s.ek.ua/jpg/2200668.jpg,Canon MAXIFY GX5040,20499,Ktc.ua
https://s.ek.ua/jpg/397266.jpg,Epson L1300,26365,TTT.ua
https://s.ek.ua/jpg/397266.jpg,Epson L1300,26365,Repka.ua
https://s.ek.ua/jpg/1238657.jpg,Canon SELPHY CP1300,5599,Moyo.ua
https://s.ek.ua/jpg/539552.jpg,Pantum P2500W,5054,Moyo.ua
https://s.ek.ua/jpg/2200668.jpg,Canon MAXIFY GX5040,16935,Megadom.biz
https://s.ek.ua/jpg/2200668.jpg,Canon MAXIFY GX5040,20499,АЛЛО
https://s.ek.ua/jpg/1238657.jpg,Canon SELPHY CP1300,6342,Kvshop.com.ua
